rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, soc_sec_id
rec-83-org, tahlia, wilkins, 26, burkitt street, lochisle, calista, 5075, nsw, 19980809, 9280276
rec-78-org, isaac, basis, , ballard place, mynora, vermont, 3124, nsw, 19140411, 6873789
rec-50-dup-0, jack, fitzpatrick, 4, skinner street, danallor, ashfield, 5127, sa, 19000218, 2939799
rec-34-org, , furfari, 193, lambert street, rosetta village, trafalgar, 4719, qld, 19600821, 1787835
rec-69-org, jared, crouch, 42, kavel street, brandywine stud, nambour, 3084, qld, 19481225, 8180142
rec-22-org, lewis, bloomfield, 8, samson place, kookardinia, mulgrave east, 5073, nt, 19260626, 5995196
rec-6-org, andrew, , 6, oliver street, vinder lodge, lakes entrance, 3033, nsw, 19211229, 7097850
rec-11-org, kiarnee, nguyen, 9, namatjira drive, rosetta village, camden, 3109, qld, 19000404, 1907493
rec-98-org, jessica, reid, 11, karrugang circuit, lila park, carlingford, 3053, qld, 19230419, 6123671
rec-60-org, erin, dreckow, 7, garrad court, palm grove, beaumaris, 3825, qld, 19030604, 7806415
rec-72-org, thomas, duchatenier, 10, gudgenby close, ronita, aspley, 3585, nsw, 19530518, 8469602
rec-84-org, carmen, banham, 7, brinkley circuit, la trobe university, clarkson, 4354, vic, 19610927, 1123873
rec-36-org, wilson, , 39, novar street, farnorah home, allambie heights, 2030, vic, 19460122, 8417731
rec-79-org, ethan, , 125, bennelong crescent, curtis park, cranbourne, 6110, qld, 19840318, 6899856
rec-93-org, ellen, spong, 112, boolimba crescent, brinjarry, moonah west, 4558, nsw, 19900118, 3473472
rec-76-org, ellouise, snell, 27, shoalhaven avenue, greenbank, nowra, 2615, qld, 19380715, 4665540
rec-58-org, lauren, charman, 342, leith place, northwood park, bull creek, 3095, wa, 19810706, 8989276
rec-35-org, cheree, laing, 2, harcourt street, manuka village, miami, 2289, vic, 19070323, 8425942
rec-17-org, andrew, elrick, 26, carlile street, cascades, atherton, 2400, nsw, 19521122, 7700315
rec-42-org, aimee, harrington, 15, macqueen place, bogabigal, alfred cove, 2287, nsw, 19160310, 1857093
rec-56-org, tess, hyland, 60, bindel street, minalinka, nowra, 3073, nsw, 19990916, 3057031
rec-84-dup-0, carmen, banham, 7, brinkley ircuit, , clarpson, 4354, vic, 19610927, 1123873
rec-70-org, mattheo, green, 29, farrer street, unt 2, camp hill, 3199, qld, 19880125, 2842265
rec-87-org, harrison, waller, 1374, bungendore road, greta main, glenwood, 4556, nt, 19580123, 2641214
rec-40-org, david, bloomfield, 28, bargang crescent, walyaming farms, coolbellup, 4558, nsw, 19440118, 9093544
rec-19-org, chantelle, bristow, 19, bamford street, kimberley, coramba, 3136, vic, 19890119, 6708266
rec-50-org, jack, fitzpatrick, 4, skinner street, danallor, ashfield, 5127, sa, 19000218, 9371667
rec-27-org, samuel, yelds, 250, alawa street, meilene retirement, mooloolaba, 2194, qld, , 7715828
rec-45-org, tuscany, maddecks, 39, adkinson close, myross, innaloo, 4702, wa, 19980418, 9627783
rec-20-org, michael, coleman, 50, eldon place, rowethorpe, ballarat, 6064, nsw, 19301203, 1704431
rec-57-org, jack, cheshire, , mcintosh street, bonnie doon, midland, 6530, nsw, 19410223, 2004073
rec-38-org, kobe, cronshaw, 1, bunker place, anzac house (cnr archer s street, st ives, 3690, nsw, 19100724, 7345983
rec-53-org, vianca, green, 76, sturt avenue, northbridge marina, andergrove, 4224, nsw, 19450625, 2233439
rec-92-org, emiily, large, 70, atherton street, leetsvale caravan park, wantirna, 3136, tas, 19990921, 9890421
rec-71-org, ella, campbell, 13, giles street, northbourne, mulgrave east, 2756, nsw, 19940518, 7810537
rec-3-org, devan, white, 42, , virginia estate, sale, 5041, sa, 19000201, 3968675
rec-65-org, louise, berry, 93, bindiri place, glenbrae, preston, 4380, vic, 19790718, 3090076
rec-31-dup-0, alexandra, basedow, 12, birdwood kstreet, ormerod cottage, crestmead, 3214, nsw, 19711011, 7710064
rec-62-org, louis, berryman, 83, tooms place, , ingham, 6210, sa, 19190618, 3462369
rec-9-org, lucy, browne, 60, may maxwell crescent, , abbotsford, 5108, nsw, 19740721, 7063278
rec-80-org, alexander, ryan, 33, brigalow street, lingdale, denmark, 4152, qld, 19750503, 4604272
rec-75-dup-0, madeleine, dinln, 367, , the stb ales, strahan, 3828, qld, 19601018, 2380765
rec-51-org, joel, gillard, 5, allawah flats, , burwood, 2333, nsw, 19810928, 1849368
rec-49-org, samuel, coleman, 51, steinwedel street, killarney, coombabah, 3181, qld, 19580809, 5836082
rec-97-org, noah, burnell, 29, ellenborough street, cullinda, glengowrie, 2486, nsw, 19000827, 6808019
rec-91-org, alexander, valeriano, 17, shackleton circuit, larnach, cabramatta, 2097, qld, 19800831, 6870698
rec-15-org, kylie, bradshaw, 238, newbigin place, brentwood vlge, cowan, 3168, vic, 19510714, 5769824
rec-63-org, laura, burman, 2229, la perouse street, mt providence hostel, kirwan, 3305, nsw, 19581028, 1600446
rec-2-org, caitlin, matthews, 40, sid barnes crescent, lapoinya, bargara, 6722, qld, , 2404029
rec-85-org, griffin, conaghty, 121, bandjalong crescent, baringa cottage, belmont, 3073, nsw, 19921218, 9428536
rec-88-org, lillian, matthews, 12, wynter place, kings school, belmont, 3169, wa, 19390816, 3297347
rec-90-org, cain, groenewege, 157, springvale drive, killarney cottage, corio, 2480, qld, 19720619, 1756971
rec-89-org, bethany, greenland, 19, mcnamara street, kellwood, albion park, 6111, qld, 19541130, 2359405
rec-30-org, elizabeth, fullgrabe, 590, alt crescent, shamrock vale, belmont north, 4061, wa, 19110203, 2502703
rec-18-org, evan, cochrane, 15, muir close, clapham farms, sheffield, 2026, nsw, 19190424, 3351840
rec-46-org, ethan, hawes, 22, carrington street, wheogo, oak park, 6027, vic, 19400307, 1967403
rec-77-org, lara, white, 160, totterdell street, yonda pines, sofala, 4020, vic, 19050323, 6523217
