rec_id, given_name, surname, street_number, address_1, address_2, suburb, postcode, state, date_of_birth, soc_sec_id
rec-101-org, shaun, krombholtz, 6, alarmon crescent, orange hill, cook, 2330, tas, 19780624, 8062703
rec-38-dup-1, ashleigh, aberg, 138, jim pike avenue, shadoo f lodge, thornbkry, 3424, qld, 19251015, 9034664
rec-63-org, cassandra, de lucia, 3, walker crescent, bowan downs, broadmeadows, 3204, nsw, 19410613, 8348359
rec-305-org, peyton, green, 55, mcburney crescent, peppercorn lodge, tully heads, 2480, vic, 19520928, 4229752
rec-390-org, thomas, thandi, 15, tyrrell circuit, tobruk hse, wallan, 2177, vic, 19051015, 8517101
rec-96-org, finlay, sieber, 3, paul coe crescent, ballenah, sandy bay, 2323, qld, 19060202, 9491818
rec-23-org, samantha, kranz, , bow place, lindsey rise, coffs harbour, 4740, vic, 19140314, 8320050
rec-297-org, jack, renfrey, 34, candlebark close, bardarra, toowoomba, 2483, qld, 19280716, 5935349
rec-182-org, vanessa, lowe, 26, fisk street, waiweer, mulgrave east, 3028, vic, 19710109, 9478708
rec-355-org, francesco, singleton, 81, rocklands street, cullinga park, orange, 3031, nsw, 19620911, 3187120
rec-58-org, liam, kerkhofs, 19, couvreur street, dryrock gulch, kirrawee, 4560, nsw, , 8355123
rec-315-org, emma, white, 36, longworth place, glenmarla rmb 2563, porcupine ridge, 2264, wa, 19540221, 4095764
rec-337-org, blake, kanizay, 118, eaglemont retreat, coolibah, st albans, 5110, act, 19771219, 5520165
rec-232-dup-0, grace, myles, 34, cordeaux treet, , trafalgar, 6230, vic, 19630824, 9056698
rec-230-org, takara, stumann, 30, eppalock street, lyndon lodge, caulfield, 4034, vic, 19740604, 2597729
rec-252-org, kelsye, grainger, 5, elliott street, warramby, petrie, 3564, nsw, 19840708, 5071445
rec-358-org, wil, reid, 5, phillip avenue, sherwood, broadwater, 2729, qld, 19410706, 9649266
rec-100-org, jackson, vatcky, 25, onslow street, glenumbral, st albans, 3095, vic, 19241025, 4736742
rec-147-dup-0, allegra, pyle, 296, goldie place, shaudell, wolumrla, 6169, wa, 19620201, 2315078
rec-284-org, amy, di cesare, 1, jackie howe crescent, fassifern retirement village, golden grove, 7109, vic, 19210122, 1247468
rec-384-dup-2, danny, eyles, 19, fuhrman qstreet, aminya vlge, heckenberg, 2195, nsw, 19880426, 8344164
rec-53-org, annalise, egan, 130, forbes street, , toowoomba, 2800, nsw, 19120324, 1621960
rec-236-org, lachlan, dallas, 3, carumbi place, , worongary, 4211, nsw, 19740311, 6477843
rec-67-org, emiily, hendy-pooley, 112, tepper circuit, nioka, jubilee pocket, 4573, nsw, 19310823, 1862246
rec-116-dup-0, stephanie, dmytriw, 5, ferrett circuit, , blacmkbns bay, 2217, vic, 19430301, 3566317
rec-59-dup-2, james, mason, 43, , , como, 3156, nsw, 19270807, 9672666
rec-131-org, briony, maynard, 355, beagle street, glen-eric, chinchilla, 4878, , 19190421, 5263897
rec-168-dup-0, juliz, ryan, 2, palest ine, feathertop street, knoxfield, 2107, nsw, 19590326, 7471523
rec-351-org, zachary, white, 27, adair street, windy gully, frankston, 2075, nsw, 19150427, 2922247
rec-200-org, kale, mcvey, 12, tryon street, colbes, darnum, 2035, nsw, 19600626, 6026467
rec-332-dup-1, ruan, matthews, 22, moss steet, wyuna, daisy hill, 2640, nsw, 19490405, 9202852
rec-203-org, rhys, morrison, , elmslie place, dandegong, caulfield, 2480, wa, 19091016, 1866358
rec-331-org, anastasia, kunoth, 5, gidabal street, belmont bayview park, joondalup, 3337, nsw, 19920221, 7717435
rec-390-dup-1, thomas, thandi, 15, tyrrell circuit, tobrku hse, wallan, 2177, vic, 19051015, 8517101
rec-2-org, georgia, ziersch, 60, knox street, pontresina, cranbourne north, 6450, vic, 19530903, 9028407
rec-373-org, brooke, bail, 14, carter crescent, danric lodge, coolamon, 7330, nsw, 19860324, 3898335
rec-168-dup-3, julia, ryan, 2, feathertop street, palesoine, knoxfield, 2107, nsw, 19590326, 7471523
rec-228-org, , curry, 123, burgan place, cambri vlge, ashwood, 0812, nsw, 19680803, 9587722
rec-227-org, sylvie, varcoe, 13, tyrrell circuit, st georges medical centre, mount warren park, 2428, nsw, 19600403, 6687384
rec-37-dup-0, flynn, husseini, 73, montado, simpson sjtreet, hoppers crossing, 4511, qld, 19111207, 1857251
rec-353-org, paris, concannon, 27, yabtree place, downlands farm, lilydale, 3807, vic, 19530427, 8061587
rec-394-dup-1, thomas, whkte, 55, stone oak farm, woodfull loop, tarragindi, 3197, qld, 19270128, 3739737
rec-295-org, dylan, mason, 143, bowman street, dejarra, willetton, 2586, nsw, 19311123, 3830723
rec-342-dup-0, , kilby, 13, dalkeith cottage, holmes crescent, salter point, 4228, qld, 19060104, 3926459
rec-45-org, cameron, apsitis, 30, hodgson crescent, villa 3, st albans, 2026, nsw, 19740729, 9510651
rec-388-org, alana, goode, 59, phillips place, vanorluc rmb 4050, kenilworth, 3218, nsw, 19630726, 1386086
rec-99-org, ruby, grincelis, 30, darby street, glenlee, currans hill, 4352, sa, 19350422, 7585402
rec-314-dup-1, emiily, reid, 391, woolgoolga retirement village, finniss crescent, yorkeys knob, 4169, vic, 19811110, 1033627
rec-136-org, oscar, hoang, 323, cavill close, jackaranda lodge, theodore, 3796, vic, 19950524, 2683113
rec-310-org, matthew, mclelland, 6, ranken place, farn 43, ashfield, 2073, sa, 19380112, 6129405
rec-369-org, ethan, neville, 53, herron crescent, hyland, windsor, 4035, act, 19830513, 1369215
rec-138-org, thomas, , 1, cory place, lambrook, ballina, 2227, qld, 19380924, 5275758
rec-83-org, matthew, ryan, 7, alroy circuit, , hahndorf, 2600, qld, 19751012, 7603060
rec-300-org, joel, piazza, 95, grainger circuit, transvaal, padstow, 3174, qld, 19751229, 1414544
rec-340-org, bridget, ballantyne, 29, schlich street, cliffdon park, murdoch, 2099, act, 19140926, 4290494
rec-389-org, judah, vrettis, 168, moore street, aminya vlge, avoca, 3280, vic, 19860619, 4781076
rec-269-dup-0, carla, ebert, 23, longplace, walyaming farms, allingham, 4520, vic, 19810620, 4914839
rec-216-org, kane, clarke, 53, pickworth street, south seas (cnr cook s street, trinity park, 4109, vic, 19550905, 6313547
rec-188-org, juliana, green, 9, budyan court, old airdmillan road, spring hill, 4563, nsw, 19990219, 2398273
rec-257-org, anthony, coleman, 1, ebenezer street, morris arcade, sunnybank, 5076, nsw, 19690215, 1715821
rec-191-org, yana, green, 32, tudor place, springdale, parkville, 2569, nsw, 19420903, 8874703
rec-169-org, sophie, stephenson, 10, strathnairn place, loma, joslin, 3350, qld, 19170504, 6263395
rec-65-org, zac, mccarthy, 47, adinda street, apmnt 203, fullarton, 2211, sa, , 8330669
rec-75-org, bethanie, birkin, 361, mcintosh street, telemon orchards, nuriootpa, 3171, nsw, 19691012, 1124871
rec-249-org, joshua, chandler, 744, hansen circuit, rydellan, brighton, 2122, vic, 19381204, 9740512
rec-364-org, courtney, crook, , harkness street, gillin park, lake cathie, 2070, wa, 19790326, 5484875
rec-129-org, luke, matthews, 5, coane street, como, katandra west, 3178, act, 19760908, 9144336
rec-162-org, charli, braddy, , hindmarsh drive, brambletye vinyard, montmorency, 4178, wa, 19580202, 1881286
rec-70-org, zachary, jesser, 20, teague street, hillside farm, birkdale, 4157, qld, 19070203, 1892918
rec-149-org, esther, mearns, 14, investigator street, westella, yarram, 3910, qld, 19551105, 5501925
rec-262-org, william, bridgland, 9, lawes place, nullo mntain, balwyn north, 4034, nsw, 19711011, 1514542
rec-264-org, megan, campbell, 21, dacomb court, brentwood vlge, minto, 4313, act, 19871012, 7090323
rec-397-org, zac, moody, 20, canberra avenue, sunnyhills, paddington, 3214, wa, 19570604, 2902917
rec-293-org, amelia, haggett, 94, east place, tulse hill, rowville, 3000, sa, 19130102, 5918007
rec-18-org, emiily, brock, 43, northbourne flats, old farm, warracknabeal, 6753, wa, 19380509, 4742676
rec-258-org, spyke, campbell, 185, baskerville street, river oaks, joondalup, 3085, sa, , 2692723
rec-142-org, lucy, averis, 21, foxall street, kirkcaldy, wantirna, 7330, nsw, 19850611, 9069374
rec-256-org, alexandra, archdall, 15, cosgrove street, shepherds hill, yarraville, 2641, qld, 19610328, 7747745
rec-21-org, nathan, shepherd, 17, tewksbury circuit, dandegong, kialla, 2450, nsw, 19430910, 5160963
rec-26-org, jacinta, hammer, 24, stanley street, jeir park, mildura south, 4122, vic, 19480707, 2443630
rec-260-org, jacob, wagnitz, 49, paul coe crescent, , holden hill, 2137, nsw, 19470414, 4110549
rec-63-dup-0, cassandra, de lucia, , walker cescent, bowan d owns, broadmeadows, 3204, nsw, 19410613, 8348395
rec-187-org, isabella, kammermann, 9, maitland street, warra, point lonsdale, 6166, vic, 19820627, 2424353
rec-183-org, jed, whiteway, 241, ina gregory circuit, wilga, cardiff, 2011, nsw, 19651001, 5554051
rec-278-org, emma, morrison, 7, , pindara medical centre, balwyn north, 3123, sa, 19670112, 4527655
rec-44-org, jaden, berry, 19, pokana circuit, , osborne park, 4053, vic, 19110504, 7776693
rec-134-org, holly, quilliam, 52, ebden street, westholme, harden, 5162, vic, 19590630, 8085282
rec-144-org, imogen, mcgregor, 21, mcluckie crescent, ridge-e-didge, concord, 4805, nsw, 19750924, 8521224
rec-345-org, georgia, vincent, 69, william hudson crescent, narada, casula, 4220, vic, 19051222, 7378315
rec-381-org, lara, shepherd, 32, arawang lane, broughton brook, osborne, 2346, tas, 19100129, 3267900
rec-159-dup-0, keelin, depold, 52, jacobs street, coulterc ourt, fadden, 3844, vic, 19730511, 7962708
rec-125-org, connor, ryan, 280, mckillop circuit, braeburn, mount isa, 4817, vic, 19151102, 8290423
rec-357-org, liam, navarro, 32, dethridge street, glenlee, denmark, 5540, vic, 19260730, 4591113
rec-333-org, hayden, vlismas, 3, albermarle place, villa 2, camira, 3083, nsw, 19490210, 1327940
rec-163-org, bodhi, hanna, 13, tatchell street, wheogo, mulgrave east, 6108, vic, 19881213, 7786700
rec-213-org, claire, gaskin, 41, hallstrom circuit, robgill farm, mill park, 2607, wa, 19480215, 9061623
rec-286-org, thomas, bralic, 25, hedland circuit, kilwinning, thirroul, 2029, vic, 19250923, 2786055
rec-269-org, carla, ebert, 23, long place, walyaming farms, allingham, 4520, vic, 19810620, 4914839
rec-367-org, mia, bellchambers, , hakea crescent, border park, wynnum west, 4020, wa, 19840403, 6511214
rec-316-org, adrian, hanna, 1, marr street, plantation caravn park, lalor, 2043, vic, 19331110, 2239623
rec-164-org, marlee, sporn, 40, neales street, marylebone, wanniassa, 3888, vic, 19320505, 3811218
rec-16-org, timothy, bishop, 30, halfrey circuit, westleigh, morwell, 2343, qld, 19890720, 2856300
rec-210-org, drew, mason, 341, brinkley circuit, posetto, sedan, 2163, qld, 19470901, 2039443
rec-281-dup-2, jack, reid, 120, summerland circuit, blue hil ls, nelson, 7009, vic, 19840304, 7181992
rec-5-org, alana, mapham, 15, maxworthy street, apmt 1702, cranbourne, 7310, nsw, 19181122, 1322987
rec-299-dup-1, andrew, hewson, 82, gulgon g place, thomas scott village, noble park, 2151, vic, 19640616, 9611875
rec-370-org, taylor, campbell, 17, duterrau crescent, sec 375, buninyong, 4221, vic, 19290708, 8552866
rec-128-org, karla, whitesman, 60, clive steele avenue, villa 2, leongatha, 6162, wa, 19950110, 2074547
rec-160-org, logan, mason, 41, bennelong crescent, ningana, lysterfield, 4020, qld, 19360714, 7205100
rec-280-org, christian, hignett, 146, mcdougall street, bayview caravn park, port douglas, 2011, nsw, 19470523, 3773487
rec-167-dup-0, jack, kotaro, 31, biraban lace, swanl ea, camperdown, 6701, wa, 19550123, 3511348
rec-167-org, jack, kotaro, 31, biraban place, swanlea, camperdown, 6701, wa, 19550123, 3511348
rec-342-org, adam, kilby, 3, holmes crescent, dalkeith cottage, salter point, 4228, qld, 19060104, 3926459
rec-165-org, matthew, blunden, 15, steinwedel street, rosehill, west lakes, 4870, qld, 19890119, 2551539
rec-294-org, ryan, burford, 22, sladen place, glenanare, stanmore, 2220, qld, 19290617, 1337673
rec-161-org, jordan, reid, 19, aspinall street, , berala, 6151, nsw, 19350615, 6355504
rec-356-org, arki, lock, 11, flemington road, menedebri, rose bay, 6008, vic, 19971024, 1495747
rec-173-org, lewis, campbell, 19, beazley crescent, miami, north bondi, 2170, nsw, 19430119, 2982608
rec-360-org, charlotte, belperio, 25, tillyard drive, red river, yeronga, 6051, nsw, , 4252633
rec-314-org, emiily, reid, 391, finniss crescent, woolgoolga retirement village, yorkeys knob, 4169, vic, 19811110, 1033627
rec-219-dup-2, kaitlin, rap son, 7, phillipavenue, st franci s village, robertson, 4104, wa, 19000122, 5804521
rec-113-org, lucy, wardle, , lett place, alexandra racecourse, bellevue hill, 6392, vic, 19490615, 7974805
rec-399-org, ella, berryman, , house circuit, rowethorpe, ivanhoe east, 5280, wa, 19801212, 1320277
rec-387-org, matthew, bollen, 15, balonne street, rushall park, riverwood, 3250, sa, 19070930, 6860536
rec-137-org, shana, wilkins, 9, tanumbirini street, burnside, cairns, 6009, tas, 19030303, 8963896
rec-288-org, francesco, browne, 46, chipperfield circuit, wombat hill, sunnybank, 4720, nsw, 19770605, 6511122
rec-354-org, sophie, crosswell, 11, john cleland crescent, cara hill, shorewell park, 5113, vic, 19280215, 3035785
rec-290-org, imogen, beattie, 61, newman morris circuit, eldeslee vlge, arundel, 5098, vic, 19920113, 4679468
